well_id,params_json
A9,"{""fields"": {""cv.cycles"": ""1"", ""cv.final_v"": ""0"", ""cv.scan_rate_v_s"": ""0.1"", ""cv.vertex1_v"": ""0.5"", ""cv.vertex2_v"": ""-0.5""}, ""flags"": {""run_cv"": ""1""}}"
A1,"{""fields"": {""cdl.vertex_a_v"": """", ""cdl.vertex_b_v"": """", ""cv.cycles"": ""1"", ""cv.final_v"": ""0"", ""cv.scan_rate_v_s"": ""0.1"", ""cv.vertex1_v"": ""0.5"", ""cv.vertex2_v"": ""-0.5"", ""ea.charge_cutoff_c"": """", ""ea.duration_s"": """", ""ea.frequency_hz"": """", ""ea.voltage_cutoff_v"": """", ""eis.freq_end_hz"": """", ""eis.freq_start_hz"": """", ""eis.points"": """", ""eis.spacing"": """"}, ""flags"": {""eval_cdl"": ""0"", ""run_ac"": ""0"", ""run_cdl"": ""0"", ""run_cv"": ""1"", ""run_dc"": ""0"", ""run_eis"": ""0"", ""run_lsv"": ""0""}}"
A8,"{""fields"": {""cv.cycles"": ""1"", ""cv.final_v"": ""0"", ""cv.scan_rate_v_s"": ""0.1"", ""cv.vertex1_v"": ""0.5"", ""cv.vertex2_v"": ""-0.5""}, ""flags"": {""run_cv"": ""1""}}"
A3,"{""fields"": {""cv.cycles"": ""1"", ""cv.final_v"": ""0"", ""cv.scan_rate_v_s"": ""0.1"", ""cv.vertex1_v"": ""0.5"", ""cv.vertex2_v"": ""-0.5""}, ""flags"": {""run_cv"": ""1""}}"
A2,"{""fields"": {""cdl.vertex_a_v"": """", ""cdl.vertex_b_v"": """", ""cv.cycles"": ""1"", ""cv.final_v"": ""0"", ""cv.scan_rate_v_s"": ""0.1"", ""cv.vertex1_v"": ""0.5"", ""cv.vertex2_v"": ""-0.5"", ""ea.charge_cutoff_c"": """", ""ea.duration_s"": """", ""ea.frequency_hz"": """", ""ea.voltage_cutoff_v"": """", ""eis.freq_end_hz"": """", ""eis.freq_start_hz"": """", ""eis.points"": """", ""eis.spacing"": """"}, ""flags"": {""eval_cdl"": ""0"", ""run_ac"": ""0"", ""run_cdl"": ""0"", ""run_cv"": ""1"", ""run_dc"": ""0"", ""run_eis"": ""0"", ""run_lsv"": ""0""}}"
A4,"{""fields"": {""cv.cycles"": ""1"", ""cv.final_v"": ""0"", ""cv.scan_rate_v_s"": ""0.1"", ""cv.vertex1_v"": ""0.5"", ""cv.vertex2_v"": ""-0.5""}, ""flags"": {""run_cv"": ""1""}}"
A10,"{""fields"": {""cdl.vertex_a_v"": """", ""cdl.vertex_b_v"": """", ""cv.cycles"": ""1"", ""cv.final_v"": ""0"", ""cv.scan_rate_v_s"": ""0.1"", ""cv.vertex1_v"": ""0.5"", ""cv.vertex2_v"": ""-0.5"", ""ea.charge_cutoff_c"": """", ""ea.duration_s"": """", ""ea.frequency_hz"": """", ""ea.voltage_cutoff_v"": """", ""eis.freq_end_hz"": """", ""eis.freq_start_hz"": """", ""eis.points"": """", ""eis.spacing"": """"}, ""flags"": {""eval_cdl"": ""0"", ""run_ac"": ""0"", ""run_cv"": ""1"", ""run_dc"": ""0"", ""run_eis"": ""0""}}"
A5,"{""fields"": {""cv.cycles"": ""1"", ""cv.final_v"": ""0"", ""cv.scan_rate_v_s"": ""0.1"", ""cv.vertex1_v"": ""0.5"", ""cv.vertex2_v"": ""-0.5""}, ""flags"": {""run_cv"": ""1""}}"
A7,"{""fields"": {""cv.cycles"": ""1"", ""cv.final_v"": ""0"", ""cv.scan_rate_v_s"": ""0.1"", ""cv.vertex1_v"": ""0.5"", ""cv.vertex2_v"": ""-0.5""}, ""flags"": {""run_cv"": ""1""}}"
A6,"{""fields"": {""cv.cycles"": ""1"", ""cv.final_v"": ""0"", ""cv.scan_rate_v_s"": ""0.1"", ""cv.vertex1_v"": ""0.5"", ""cv.vertex2_v"": ""-0.5""}, ""flags"": {""run_cv"": ""1""}}"
